F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
Europe,-63.54,282.12,High,20853.27,10.05,-263.46,-6.65,-87.65,57.39,1312.02,-2894.4,29.3,1619.86,-19.22,252.74,-26.04,283.38,307.38,6,1006.53,5,-3418.98,4.25,2912.98,-1009.48,202.23,-2622.96,35.94,7.92,8216.76,26.61,-1001.37,-2755.04,-8.93
USA,-57.66,227.73,Very high,15986.52,-14.64,-282.24,-1.57,-104.18,35.73,2420.43,0.03,25.03,1933.96,-1.4,526.69,-31.11,113.64,210.22,3,4204.62,4,-1620.18,0.89,4436.34,79.7,140.22,-2589.76,43.84,0.1,18373.17,11.1,-1847.85,-2227.52,379.33
Rest,-72.46,280.14,Medium,16875.45,0.09,-206.25,-11.31,-50.34,53.19,1838.1,-507.99,21.29,874.48,-6.06,-212.21,-14.64,299.01,460.22,4,3296.1,3,-1709.46,0.2,4298.24,-31.82,100.95,-1922.32,54.46,3.4,17945.21,11.55,-2142.22,-2781.6,45.8
Europe,-71.54,46.92,Low,30297.84,22.02,-337.98,-4.01,-29.65,61.08,1086.24,-356.88,21.83,1205.92,-2.74,78.83,-29.88,210.6,264.12,2,4239.97,2,-4410.12,2.71,3705.62,-804.18,216.39,-788.88,54.48,11.36,15538.29,4.65,-2205.03,-2604.94,326.23
Europe,-65.58,354.42,Low,11136.48,11.76,-139.32,-14.03,-59.64,58.56,1918.2,-1321.11,25.14,504.32,-9.68,548.69,-25.95,404.88,362.58,1,4991.03,4,-1571.14,16.73,2805.18,-586.62,125.76,-2363.04,48.76,3.5,17323.42,3.6,-1773.39,-2809.22,449.05
UK,-67.16,72.15,Very low,31279.11,3.15,-300.21,-8.81,-34.85,63.12,1500.57,-338.82,22.04,1515,-23.48,170.74,-33.06,246.75,185.14,4,6321.26,6,-1528.98,0,4542.06,-108.14,185.94,-1748.4,71.76,9.14,15055.64,18.6,-1498.01,-2140.9,-8.93
Europe,-71.88,209.1,High,19817.46,19.56,-247.05,-6.74,-114.08,36.84,1960.8,-1120.95,26,1618.7,-18.74,-30.02,-25.04,94.38,312.28,6,7461.87,2,-1677.66,0.13,3938.08,-764.78,259.74,-2112.86,39.8,1.26,17127.02,8.07,-2110.76,-2384.54,-8.93
Rest,-71.02,259.47,Very low,34488.9,0.03,-401.94,-13.37,-56.69,41.1,558.81,-2755.62,21.5,791.92,5.98,309.2,-25.74,172.68,295.98,1,-3970.84,3,-106.24,22.51,3745.1,-523.1,8.79,-1496.48,51,10.58,21833.98,11.7,-1871.03,-1672.38,188.22
Europe,-65.04,222.51,Very high,31393.71,5.91,-180.3,-7.37,-52.39,64.2,160.77,-1179.51,21.06,804,-11.82,93.56,-23.96,225.57,306.52,0,2256.73,4,-1732.46,0.03,3326,121.26,156.03,-1977.58,47.56,2.5,17543.65,28.08,-1703.41,-2062.26,54.1
UK,-62.7,182.55,Low,25669.32,18.03,-233.73,-4.53,-33.82,65.31,-257.37,-1192.98,20.52,1637.26,-5.52,-101.78,-26.69,231.09,357.94,6,7953.88,5,-1710.78,0.13,5269.62,-917.42,72.57,-1887.1,49.58,7.14,15185.22,19.98,-1960.82,-2351.52,-8.93
UK,-79.4,240.66,Very low,5080.41,-11.67,-393.63,-4.36,-109.47,63.81,1541.1,-385.11,24.51,915.88,-4.16,804.79,-26.38,37.89,146.78,5,2315.32,5,-3018.96,0.09,3643.28,-1175.06,77.55,-3322.56,31.94,7.58,15238.49,8.76,-2117.62,-2142.14,244.27
Europe,-76.46,-21.63,Very low,30273.39,10.59,-214.8,-17.07,-70.14,73.35,-766.98,-1404.99,28.35,1469.38,-0.4,320.08,-24.81,104.28,344.7,4,5685.94,4,-1277.16,0,5244.12,-367.64,238.11,-2897.56,46,6.8,15319.46,16.92,-2205.24,-1741.5,-8.93
Europe,-72.02,-227.55,Medium,18073.2,-1.65,-343.17,-5.54,-26.86,47.01,-501.27,-879.72,22.8,401.9,0.12,689.5,-25.3,235.77,280.52,7,1954.16,3,-1324.02,10.37,3562.76,-141.72,160.86,-3799.76,47.32,4.22,13391.24,0.75,-1094.45,-1528.64,364.16
Rest,-76.26,411.87,Very low,14901.3,-0.36,-339.78,-12.36,-108.55,50.88,1536.18,-2174.64,24.92,839.14,2.14,460.59,-31.01,55.47,258.54,6,3650.21,2,-1852.96,1.75,4171.4,-718.54,272.4,-2022.78,46.48,15.68,19139.43,3.06,-1945.94,-1438.46,51.23
USA,-69.32,137.34,Very low,16592.04,18.09,-229.23,-6.43,-73.48,52.77,25.26,-1303.14,22.94,-91.02,-3.22,271.93,-26.3,307.26,335.82,3,3710.3,4,-1514.36,0.01,3978.12,-461.7,165.63,-2642.7,46.72,5.16,20456.09,13.14,-2782.63,-3264.18,115.07
UK,-90.86,59.1,High,2220.84,7.35,-141.12,-11.95,-87.73,69.48,2240.1,-2380.44,22.77,1624.08,0.16,655.66,-22.11,248.97,231,6,4510.6,8,-2544.5,0.11,4130.46,-576.96,237.09,-2659.56,33.96,44.54,18834.95,8.94,-2374.53,-2277.06,726.46
USA,-82.48,209.34,Low,24834.18,6.27,-163.38,-9.31,-18.63,60.99,714.87,-804.39,22.08,1810.86,-2.36,-237.45,-25.67,287.01,213.74,4,849.34,4,-1972.48,0.93,4454.68,-742.12,24.66,-1910.88,39.92,10.46,13798.39,8.58,-1678.85,-2672.78,195.48
Europe,-61.8,-45.33,Low,24849.81,13.86,-284.31,-8.21,-76.21,60.66,600.48,-941.34,19.43,1569.26,-2.6,1085.29,-25.28,247.41,319.34,4,-1886.24,11,-1361.68,0.8,3362.14,-672.4,108.39,-1911.28,57.34,6.4,17813.52,23.01,-1693.64,-2460.6,461.78
Europe,-66.18,357.33,High,34021.98,-2.28,-167.1,-9.32,-46.62,58.89,-21.39,-2425.77,22.56,1903.46,-3.92,7.71,-26.27,378.72,246.42,3,2583.97,3,-1285.94,0.28,4340.02,-730.04,320.13,-2325.06,43.34,17.42,16999.59,7.62,-2082.95,-2305.14,390
USA,-72.62,237.33,High,28098.42,-4.68,-199.02,-11.07,-141.09,59.49,-381.66,-1421.16,24.47,1249.5,-11.76,466.85,-26.44,280.89,290.22,3,7350.22,2,-1191.46,1.6,4312.06,-745.38,273.48,-2482.16,47.06,2.74,17621.24,24.9,-1324.99,-1598.56,-8.93
USA,-70.5,357.63,High,21988.59,-40.47,-147.75,-8.11,-75.23,57,-24.66,-1323.15,25.96,1231.54,-5.4,742.63,-20.63,309.72,302.1,4,1649.34,3,-1405.32,186.1,4787.3,-1270.12,64.38,-1834.88,42.92,10.84,15117.5,16.17,-2067.5,-2185.82,110.24
USA,-72.2,86.7,Very low,23866.14,-0.93,-180.33,-9.97,-56.64,63.93,-1209.18,-1009.26,20.17,1321.7,-17.92,47.55,-31.54,355.95,225.18,4,3166.71,2,-1157.34,0.54,4087.9,315.18,143.28,-1919.52,47.4,2.92,12399.57,13.98,-2331.43,-1721.54,-8.93
USA,-69.12,352.32,Very low,32503.17,7.35,-393.66,-11.79,-42.34,56.88,867.57,-2799.09,12.29,1224.14,0.24,494.51,-24.28,215.73,403.8,2,1712.48,4,-1376.9,15.44,4410.5,-1281.68,89.49,-1545.9,38.7,3.4,20964.61,3.3,-1802.93,-2468.92,325.7
UK,-53.18,148.62,Medium,38975.73,1.77,-237.54,-11.77,-78.75,45.66,65.22,-872.97,15.73,254.38,4.08,90.41,-30.11,143.82,285.64,3,9458.06,4,-768.82,217.99,4285.02,-1411.22,178.59,-2763.92,50.12,5.54,18958.43,26.13,-1440.22,-2089.26,54.92
Europe,-70.36,186.72,High,19481.07,1.02,-307.98,-8.15,-86.27,69.63,947.01,-3759.12,23.58,1161.08,0.14,67.69,-27.26,321.69,316.4,7,3030.16,3,-1444.34,0.06,4026.36,44.1,29.73,-2411.68,46.88,6.34,18266.49,1.11,-1589.76,-2719.58,412.58
Europe,-86.34,324.96,High,18739.98,-4.8,-201.69,-6.75,-90.86,31.74,-13.59,-2730.24,23.72,1566.12,-3.88,-51.53,-27.31,175.74,370,5,3927.22,2,1590.14,0.07,4430.66,-60.56,96.84,-2333.2,46.74,9.48,18487.7,10.5,-1695.62,-1470.06,116.14
Rest,-70.92,222.6,High,24630.75,-19.38,-180.12,-5.7,-37.49,49.77,949.83,-3010.5,25.23,1862.34,-8.88,263.85,-30.51,248.7,383.88,1,2624.23,8,-1506.74,59.39,4684.26,-444.04,23.55,-1543.6,47.12,10.7,15725.54,10.68,-1124.76,-1551.66,275.78
Rest,-71.62,229.77,Low,32006.85,9.99,-223.08,-7.37,-120.13,73.89,-43.68,-2257.08,19.2,2037,-10.9,348.37,-31.28,85.23,406.18,7,4437.97,0,-1667.16,69.78,4402.3,606.92,-25.02,-1553.88,32.5,2.18,18635.43,17.88,-2143.07,-1404.78,-8.93
UK,-84.46,178.68,Low,11740.98,0.3,-328.29,-6.73,-96.74,58.35,1319.13,-68.73,24.34,1354.42,-13.7,117.61,-24.42,262.68,200.96,5,2533.24,4,-3685.74,6.63,3678.62,-1239.7,-35.91,-4352.42,62.18,8.54,33419.9,21.87,-2607.44,-2950.72,-8.93
USA,-71.5,568.05,Medium,28582.44,13.68,-413.64,-12.74,-41.72,63.69,1118.34,-1051.44,18.78,-267.22,-14.36,366.45,-27.52,363.45,290.32,4,5042.91,5,-1856.52,0.64,4183.5,-618.7,138.18,-2739.82,45.04,2.74,14748.14,36.42,-1781.91,-2812.18,-8.93
USA,-67.62,245.37,Low,11819.61,4.11,-375.18,-4.69,-73.8,63.36,817.86,-1578.21,21.22,1722.52,-8.4,671.56,-26.71,321.36,204.76,5,2251.14,3,-2386.38,0.15,4211.3,-440.7,202.29,-1952.42,54.68,14.72,17957.38,10.77,-2291.11,-2641.9,5.21
Rest,-69.48,82.29,Very high,18897.81,9.33,-437.13,-11.09,-66.33,60.9,782.1,-1128,23.04,1905.52,3.9,-129.78,-26.71,276.24,326.88,2,2001.39,7,-179.86,0.16,5082.24,-1290.42,233.31,-2614.5,48,3.62,20106.76,7.41,-1986.28,-2016.08,486.97
UK,-82.6,303.63,Very high,13710.27,-15.48,-343.23,-6.16,-125.89,66.42,484.53,428.25,22.14,1699.58,-8.14,562.89,-25.62,225.9,197.1,4,3125.81,4,-2345.76,0.19,4829.6,-19.6,208.62,-2120.52,36.4,7.98,20929.95,20.52,-1532.63,-2447.5,136.9
USA,-76.2,85.62,High,23151.84,6.21,-259.8,-7.11,-107.87,62.94,-587.76,-1427.04,26.72,1860.52,-10.02,379.14,-26.27,15.24,475.44,2,5547.71,4,30.2,0.05,3926.22,-866.14,174.84,-1653.28,44.98,13.48,24972.07,24.09,-1707.6,-1695.08,20.59
Europe,-66.14,185.73,Very low,13678.95,-11.46,-248.55,-8.16,-45.15,72.75,41.85,-649.62,24.97,1691.22,-3.2,381.01,-28.08,286.53,282.14,0,3348.13,4,-1287.5,108.08,5643.66,-1171.46,239.25,-2739.82,60.06,10.04,7292.38,13.11,-1675.06,-2200.98,410.24
Rest,-68.46,219.75,Very high,26775.75,5.7,-303.09,-2.37,-100.57,40.05,619.38,-3264.66,24.84,854.14,-17.46,553.74,-29.09,208.95,162.4,3,4230.5,8,-840.28,1.01,4034.68,-1049.08,132.93,-1969.46,43.82,3.2,14688.41,33.12,-2009.51,-1123.9,-8.93
Rest,-71.4,192.03,High,44774.88,-1.83,-395.16,-13.93,-47.73,42.48,1965.27,-2157.06,19.8,286.54,-6.38,229.28,-18.42,232.71,190.32,5,6214.2,4,-526.58,0.01,5381.58,-168.48,184.14,-2841.88,42.8,28.88,21033.46,1.56,-2125.63,-2288.32,80.6
Europe,-69.32,161.61,High,6480.36,10.14,-212.46,-6.4,-60.2,79.08,778.14,-748.14,22.65,1215.7,-4.44,406.9,-28.73,294.33,300.32,5,5875.27,6,-2078.36,2.21,4866.14,-367.32,118.2,-2664.34,60.38,5.96,14282.9,25.14,-3238.33,-1587.84,62.25
USA,-93.94,189.51,Very high,18185.55,-1.2,-295.44,-7.28,-25.68,76.41,1603.2,-2196,22.43,1677.18,-12.72,218.56,-24.45,262.23,229.62,5,2586.02,2,-118.14,0.09,4120.16,-1069.34,-134.79,-2163.98,46.16,5.74,17780.1,8.25,-1361.74,-2696.66,68.75
Europe,-57.4,163.26,Medium,26673.3,5.67,-216.57,-6.4,-129.55,54.21,-377.67,-3077.67,22.5,2136.7,-3.76,242.31,-21.93,136.5,160.2,5,2556.03,5,-1754.32,4.67,3952.62,-752.94,92.37,-1170.44,46.4,5.02,16678.96,11.79,-2424.47,-2209.38,227.6
UK,-111.86,279.36,Low,32603.01,7.65,-179.52,-9.51,-56.63,52.23,115.38,-1124.82,23.58,1842.28,-1.02,647.63,-28.76,295.98,214.06,5,6874.35,4,-1431.38,4.31,3802.86,-748.3,87.15,-1779.42,43.94,5.56,16768.45,2.52,-901.83,-2228.22,367.04
Europe,-66.46,186.81,Very low,35640.72,2.28,-322.89,-6.72,-101.93,55.35,-945.36,-2210.04,20.14,1963.98,-9.72,540.67,-26.05,224.88,185.42,3,5674,6,-513.38,11.35,5549.32,-1307.52,204.93,-1756.72,48.36,16.4,16869.35,14.04,-2135.42,-1565.1,-8.93
Europe,-77.84,282.09,Medium,10230.48,4.59,-304.41,-5.47,-116.58,66.51,1830.3,-1880.73,35.67,1286.94,1.6,214.8,-30.31,301.59,152.64,2,106.79,3,-3509.26,0.06,2912.34,-836.78,139.05,-1764.04,42.52,14.62,15661.2,9.54,-1942.18,-2108.56,530.15
Rest,-68.3,245.73,Low,13975.89,17.25,-305.76,-12.19,-60.15,68.16,1890.81,-547.08,22.86,1182.5,-5.48,367.01,-20.68,325.47,286.72,5,-1995,5,-1203.82,0.01,3999.52,-2328.3,132.87,-2478.12,56.64,6.6,13713.81,3,-1817.95,-2448.64,135.72
UK,-68.24,150.15,Very low,16143.81,6.99,-431.43,-11.69,-42.51,58.26,148.98,-1116.99,25.39,2026.86,-3.7,722.71,-27.76,114.21,190.58,1,-3839.63,6,-2995.7,0,4116.64,332.28,162.09,-2185.3,40.08,2.58,13052.86,12.66,-1425.48,-2769.56,678.85
Europe,-82.1,133.89,Very low,33770.04,27.99,-344.1,-7.75,-73.62,61.95,-253.38,-818.55,22.11,1176.6,2.86,230.47,-22.37,221.43,188.62,4,1423.33,3,-769.96,27.92,3974.36,-631.04,138.6,-1476.92,50.18,5.9,11705.23,1.86,-2067.11,-3032.44,400.27
Europe,-69.78,188.31,Very low,28674.21,0.63,-281.1,-7.5,-32.01,61.95,1991.97,-2426.4,26.77,483.58,-9.1,211.82,-21.1,49.05,305.14,3,3627.09,5,-1499.78,1.32,5998.12,-1546.22,218.43,-2170.92,46.32,9.14,22108.75,1.2,-1842.77,-2774.82,288.61
Rest,-70.02,207.75,High,14003.19,1.26,-306.15,-6.38,-111.79,60.78,12.75,-1768.56,25.16,1042.22,-6.02,282.9,-28,129.93,295.74,6,4441.86,7,-1038.96,2.01,4889.36,-568.46,90.27,-2490.56,43,7.2,19098.18,25.23,-1880.54,-2548.94,17.45
Europe,-48.96,133.95,Medium,28577.79,12.3,-311.19,-12.88,-83.29,82.92,-20.16,-1400.04,23.06,1698.44,-15.32,7.39,-34.03,163.02,265.72,5,3830.17,6,-2058.7,17.34,4031.88,216.34,44.46,-1333.64,55.54,0.6,18972.27,11.07,-789.14,-2377.3,-8.93
USA,-68.66,222.24,Low,20332.83,3.33,-295.86,-8.34,-30.27,42.6,-1183.44,-125.85,22.44,1366.9,-11.48,421.99,-26.6,79.68,301.88,5,3991.57,5,-1548.22,0.1,3310.48,-1356.76,-1.23,-1138.34,52.16,5.22,16062.91,18.6,-3057.2,-2075.48,-8.93
Rest,-73.4,222.12,Low,38855.25,3.72,-265.74,-5.81,-98.52,56.34,-1362.72,-1490.31,24.57,1717.4,-10.96,406.98,-21.88,161.97,418.5,3,3740.81,4,346.08,0.23,3680.96,-68.54,-74.67,-1915.88,51.9,7.14,10530.53,32.43,-2337.04,-2618.54,-8.93
Rest,-70.88,207.84,Very high,1075.17,6.27,-401.79,-13.04,-89.64,62.58,-1104.78,-470.7,22.16,2149.12,-4.32,-36.1,-31.38,176.37,285.12,1,5967.44,4,-282.7,0.09,4160.6,-578.98,72.09,-1444.74,51.72,13.22,14537.13,12.96,-2330.64,-2423.82,245.39
UK,-73.5,246.36,Very high,31127.19,-7.29,-23.43,-4.93,-109.98,72.45,-210.51,-2659.08,31.55,741.52,-8.8,-23.93,-24.68,340.68,244.6,2,3496.27,6,-123.58,289.19,5442.2,-1857.34,129.96,-2731.48,33.18,2.14,22540.87,15.72,-2178.88,-2857.68,611.35
Europe,-78.8,507.96,Low,31676.61,5.4,-172.89,-5.35,-10.31,63.69,1113.21,-402.96,24.98,479.14,2.14,111.63,-22.75,278.43,225.58,5,7108.48,4,-1381.06,68.81,4397.66,-763.9,226.44,-2564.14,53.94,10.38,18559.73,2.25,-2033.83,-3468.96,386.79
Rest,-70.76,180.6,Low,30955.74,-3.12,-181.65,-7.76,-73.93,54.48,474.09,-1052.58,24.4,493.38,-8.4,576.79,-40.3,81.33,336.6,3,3998.96,3,-1818.94,0.44,2432.08,-721.16,106.92,-2655.26,39.38,8.24,17914.89,29.58,-1907.41,-1752.8,-8.93
USA,-65.54,-119.49,High,16860.6,9.3,-368.79,-8.66,-41.63,52.98,-1198.92,-2297.34,24.75,2256.9,-12.44,450.23,-25.55,192.66,413.34,4,3983.33,6,-1846.76,0.82,4701.36,-1445.6,208.95,-2035.56,59,8.58,19567.98,11.43,-2165.07,-2799.6,178.2
Europe,-81.28,97.26,Very low,39812.13,16.38,-213.99,-10.62,-122.42,68.67,2204.91,-1822.41,25.62,1149.6,4.78,182.55,-28.05,159.42,329.78,5,2574.17,4,-246.22,9.75,6036.56,420.56,141.72,-2595.34,44.96,13.22,13785.89,1.17,-1393.08,-1318.94,409.67
Europe,-67.62,171.6,High,17379.09,-4.08,-341.58,-7.86,-106.38,56.58,-1078.41,-1426.8,23.19,1021.16,-9.84,609.4,-24.58,252.18,236.12,3,1300.78,7,-1111.26,62.89,4629.56,-601.82,168.12,-1868.6,46.64,3.66,15215.56,17.67,-1958.74,-2744.44,382.74
UK,-70.56,5.43,High,29081.61,4.5,-305.19,-8.84,-55.91,54.12,-72.21,-2353.92,23.09,42.16,-8.56,692.05,-25.76,301.98,279.72,1,880.26,4,-1720,8.51,3683.12,-889.98,200.19,-830.4,51.96,13.32,13613.73,9.15,-1857.07,-2213.64,645.07
Rest,-66.8,156.63,Medium,36203.25,30.81,-162.9,-6.8,-53.87,56.82,-560.91,-558.48,23.84,1361.2,-17,731.29,-27.5,129.87,177.64,4,5988.74,3,-2342.82,51.32,3800.94,389.04,100.14,-2404.56,30.94,3.96,16940.68,3.45,-1870.25,-1753.32,-8.69
USA,-67.72,399.24,Very low,47986.98,10.59,-356.67,-7.61,-108.98,55.74,2316.84,-1756.62,26.58,590.56,-1.48,81.24,-27.24,239.07,198.76,3,683.05,5,-2523.84,76.68,4378.42,-1848.68,102.45,-2375.92,36.38,3.66,25309.63,1.8,-2308.05,-2292.28,281.79
Europe,-70.22,531.45,Medium,25578.39,-4.92,-354.93,-9.18,-79.73,47.67,1464.51,-1465.29,26.92,662.58,-4.9,315.83,-32.58,356.16,140.02,2,5014.16,6,-400.32,5.64,2494.28,12.5,158.13,-895.52,33.64,9.84,19179.86,16.8,-1953.06,-4751.72,365.14
UK,-77.02,187.41,Very high,21762.81,19.23,-351.78,-12.45,-54.07,51.18,1741.98,-3130.77,23.89,1437.64,1.48,332.46,-26.42,168.6,312.86,1,-2251.86,4,-1766.76,6.58,2794.58,-1669.86,178.02,-1870.62,49.68,7.42,16888.66,6.6,-2238.39,-1867.7,749.54
Rest,-72.9,291.6,High,31708.17,-0.24,-319.23,-9.24,-26.85,35.01,1685.04,-2511.27,23.07,378.2,-22.18,137.2,-23.24,358.2,315.44,4,2047.04,2,-2764.16,6.23,5813.28,-697.04,84.96,-1413.48,37.4,11.06,17097.01,7.44,-1681.47,-2998.24,-8.93
Rest,-77.46,9.09,Low,19561.02,9.87,-253.68,-3.99,5.03,66.63,2735.61,-915.84,25.58,1148.8,-6.9,131.42,-27.27,249.24,386.44,5,1862.35,1,-1405.76,0.16,3994.34,-812.18,243.12,-1759.1,37.84,0.88,16275.82,19.56,-1705.61,-2789.64,-8.93
UK,-84.84,261.45,Medium,28584.15,2.97,-411.75,-3.3,-90.86,50.43,1394.94,-857.4,27.17,717.66,-10.9,558.69,-27.31,98.28,121.56,2,5653.39,5,-2892.28,0.22,4270.06,-1480.64,122.58,-2037.9,37.16,0.62,16603.55,7.53,-1964.55,-2172.68,428.01
Rest,-70.18,2.97,High,21456.63,-5.82,-162.57,-10.34,-81.22,60.06,1113.27,-546.15,22.31,23.64,-2.16,109.66,-22.27,141.57,277.74,6,6155.35,2,-1669.24,0.01,4339.46,-1167,175.14,-2773.76,43.12,13.8,19317.36,6.51,-1297.61,-2013.96,51.33
USA,-76.6,110.79,Very low,32669.55,19.38,-295.56,-13.66,-29.99,63.66,412.62,-323.85,24.89,198.2,-1.88,159.74,-25.97,213.12,214.94,5,615.77,4,-1238.72,0.24,4438.4,-1424.16,114.84,-1621.1,66.6,10.52,7455.95,15.33,-1606.13,-2042.76,-3.47
USA,-84.56,-75.27,Very low,25874.4,3.36,-279.75,-11.85,-5.78,37.98,1400.43,-1006.2,29.51,2352.26,-5.62,-418.63,-28.18,40.11,664.18,4,1653.86,4,-1356.02,0.02,2905.26,-1608.38,261.21,-2687.28,46.96,2.88,19563.67,3.12,-1793.35,-2678.78,160.04
USA,-71.46,191.88,Very low,19782.42,4.62,-192.21,-8.88,-79.71,52.14,-952.62,-965.64,21.84,1552.9,-4.9,-422.32,-22.51,58.98,93.88,4,3801.94,5,976.5,0.28,4788.14,-1921.72,107.73,-1571.04,46.78,4.08,16016.73,20.82,-2121.53,-2023.3,-8.93
UK,-73.92,27.36,High,21770.79,-5.64,-231.36,-3.53,-92.13,45.12,1145.79,-714.51,23.15,1551.66,-4.58,36.6,-17.29,170.55,289.36,8,3995.89,4,-2023.44,1.16,4104.76,-989.84,233.31,-1405.82,59.78,1.3,14778.83,2.25,-1934.24,-2440.66,269.16
Europe,-69.08,207.24,Very low,17898.15,-6.12,-400.89,-9.38,-28.13,53.91,652.77,-1191.03,30.76,294.64,-9.02,252.78,-22.62,292.32,269.62,6,2452.58,4,-2714.58,0.09,4100.1,-159.68,63.69,-2157.34,19.36,12.18,17290.78,4.65,-1931.5,-2405.48,-8.93
Rest,-81.46,177.03,Very low,22842.72,7.14,-210.18,-11.01,-73.1,39,492.33,-1371.75,28.97,1498.8,-5.12,245.31,-26.31,240.81,484.68,2,2763.83,5,-2036.3,89.85,4649.1,-481.48,143.97,-2855.02,51.58,5.44,22139.93,48.51,-1688.47,-1599.38,-8.93
Rest,-68.8,227.13,Very low,25490.61,2.85,-277.62,-10.53,-107.74,65.55,206.49,-715.86,14.98,515.14,4.48,51.49,-29.63,189.57,441.44,6,4140.49,3,-1412.44,312.65,4030.52,-323.78,157.77,-2785.3,25.5,5.6,16204.64,7.68,-2427.65,-1837.26,47.34
Europe,-62.2,90.75,Very high,21866.76,-0.51,-158.04,-4.15,-142.5,57.54,256.17,-3207,22.44,190.7,-7.26,719.92,-30.7,328.26,333.02,3,5545,4,-822.06,0.23,3756.68,-688.86,177.57,-1761.14,45.58,22.56,23816.55,6.93,-2052.99,-2423.48,462.58
USA,-57.64,152.91,Low,25777.05,-1.29,-131.16,-8.1,-36.18,70.98,-890.37,-856.83,22.66,2127.72,-7.14,206.25,-26.36,248.07,350.76,3,3809.1,4,-1013.72,2.52,4057.56,-556.96,206.79,-2439.76,48.86,14.5,21678.17,3.72,-2143.04,-1990.58,203.79
Rest,-68.28,157.2,Very low,22162.62,25.74,-322.26,-11.2,-81.09,71.97,-707.4,-2122.62,29.35,1413.68,0.08,54.31,-30.92,164.37,346.16,4,4076.64,1,239.16,12.41,4147.7,-655.76,53.31,-1674.62,46.08,0.58,15735.4,47.43,-1932.35,-2420.84,-8.93
USA,-63.98,-135.6,Very low,23712.12,6.93,-273.3,-10.64,-99.88,58.86,1106.64,-586.26,18.38,1557.16,-4.1,1036.59,-33.96,254.79,391.54,7,-1753.38,3,-1257.38,0.03,4697.3,-1597.2,23.4,-1531.66,46.2,13.26,18541.67,18.15,-2267.59,-1117.78,-8.93
USA,-67.32,261.54,Medium,11640.57,2.88,-295.68,-13.32,-103.37,57.66,458.07,-1575.24,25.74,832.58,-3.02,305.91,-29.76,118.83,215.98,8,1455.46,5,-1880.92,1.9,3558.22,652.64,89.31,-2569.16,50.14,0.5,17238.61,16.29,-1928.58,-2110.4,30.41
Rest,-59.02,183.96,Medium,19819.53,2.73,-316.89,-1.82,-98.13,56.28,-1225.95,-1957.89,32.12,1600.08,-15.72,298.08,-26.73,168.9,450.54,5,10299.11,4,-3004.28,3.73,4074.4,12.06,-35.31,-2530.74,34.8,9.02,19473.26,11.16,-1631.66,-2587.54,-8.93
USA,-68.36,-111.84,Medium,22092.27,10.38,-241.77,-4.32,-106.53,44.85,202.26,-589.62,21.2,287.5,-1.58,360.01,-28.01,413.4,144.56,4,5668.43,3,-1127.88,1.31,3826.8,-558.78,244.71,-1867.46,47.9,8.08,17168.42,12.48,-1773.06,-1905.38,139.21
Rest,-69.38,151.14,Very high,21099.3,24.84,-301.8,-7.08,-81.3,75.51,-81.57,-1207.59,22.4,1608.22,-2.56,-123.99,-20.05,223.38,452.14,1,6144.95,3,-1432.52,2.43,4883.52,163.1,153.15,-2821.22,45.36,14.72,17827.96,19.56,-3324.74,-2170.52,130.15
Rest,-43.74,146.01,High,18886.32,0.93,-235.83,-9.27,-46.9,26.7,294.69,-827.88,22.52,1456.58,-13.72,629.38,-26.33,251.79,309.52,7,1198.43,1,-1347.32,695.43,4049.24,-867.14,45.96,-2056.8,42.64,6.16,16381.52,15.24,-2128.23,-1343.84,-8.93
Europe,-70.98,77.4,Medium,39770.34,-6.99,-196.68,-12.8,-61.58,38.31,1607.55,-1432.62,23.45,808.04,-17.74,224.34,-26,174.39,518.62,2,4359.52,7,-1362.8,1,5933.7,43.96,200.13,-2745.26,57.42,6.9,17777.5,3.12,-2498.26,-2131.6,346.05
Europe,-81.02,86.34,Low,21309.45,-9.21,-351,-10.97,-110.08,24.54,-148.53,-2666.43,28.19,252.32,-7.98,248.66,-24.74,141.39,271.7,3,-124.52,3,-1923.6,24.75,4437.6,-813.02,126,-1374.9,44.98,7.94,1728.67,15.75,-2127.23,-2082.82,-8.93
Rest,-68.68,246.42,Very low,27947.01,4.35,-391.53,-8.35,-103.34,70.11,-117.03,-1224.3,20.29,216.3,-4.78,23.16,-28.36,192.27,249.38,3,8811.59,1,-2024.38,0.01,5606.54,-726.54,110.61,-1879.66,43.8,26.74,18318.98,13.23,-1874.59,-931.88,-8.93
UK,-67.62,450.84,Low,16862.7,-4.23,-101.82,-8.48,-79.67,50.46,-712.29,-1452.9,19.23,1591.2,-7.44,-47.75,-26.49,185.28,241.34,3,7298.92,3,-2062.26,3.23,4875.74,-1017.46,126.78,-1958.04,47.2,12.42,19587.78,2.55,-2132.88,-1709.34,308.08
USA,-66.84,183.69,High,31650.72,-5.46,-177.27,-10.5,-59.68,51.78,2111.58,303.3,20.63,1435.54,-4.74,538.31,-31.24,138.51,267.82,2,-2464.86,2,-1370.68,0.58,3244.5,943.16,189.45,-2042.66,53.68,1.34,15507.9,0.84,-1629.78,-2289.76,384.78
